,Date_added,GRE_Q,GRE_V,GRE_W,GRE_sub,ST,Undergrad_GPA,admission_date,admission_status,admission_via,degree,institution,notes,program,season
0,4 Nov 2020,170.0,168.0,4.0,,A,3.8,4 Nov 2020,Rejected,E-mail,PhD,Arizona State University,,Statistics,F21
1,13 Oct 2020,,,,,I,,12 Oct 2020,Rejected,Website,PhD,University Of Cincinnati,Too late.,Statistics,F20
2,13 Oct 2020,160.0,151.0,0.0,,I,4.0,13 Oct 2020,Other,E-mail,PhD,NCSU (North Carolina State University),I am trying to send in applications for fall 2021 to Statistics departments in USA,Statistics,F21
3,8 Oct 2020,163.0,163.0,4.0,,A,2.53,7 Oct 2020,Accepted,E-mail,Masters,George Washington University (GWU),Took graduate coursework at GWU before applying for Master's program.,Statistics,S21
4,4 Jul 2020,,,,,U,,17 Oct 2019,Accepted,E-mail,PhD,Bowling Green State University,TTPB: Have you heard any updates about funding yet? How did you find out that you were waitlisted? Were you able to know your position on the list?,Statistics,F20
5,30 Jun 2020,,,,,I,,30 Jun 2020,Rejected,E-mail,Masters,University College London (UCL),I was not expecting this result. i am first honours for my undergraduate and master studies and have work experience related to Big data and data engineering. i applied mid April but the application changed status to under assessment end of april so almost  2 months.  Good luck for everyone applying.,Computational Statistics And Machine Learning,F20
6,19 Jun 2020,165.0,155.0,3.0,,I,3.55,19 Jun 2020,Rejected,E-mail,Masters,Cornell University,"If you are waiting till June, then probably it's going to be a rejection.",Applied Statistics,F20
7,26 May 2020,,,,,U,,26 May 2020,Rejected,E-mail,PhD,Rice University,"It's not very comfortable to receive news so late, and they even don't wanna bother to notify u.",Statistics,F20
8,19 May 2020,167.0,167.0,5.0,,A,4.0,6 May 2020,Accepted,E-mail,Masters,"University Of California, Los Angeles",,Applied Statistics,F20
9,14 May 2020,,,,,I,,14 May 2020,Other,Other,PhD,Iowa State University,"TTPB: to the post below for ISU. This program also did not reply to my emails regarding decision. But so far the coordinator told that they cut half in the budget due to situation and now are unable to accept half of (300) applicants admitted usually. She suggested accepting other offers if any. So for all being ghosted by ISU, suggest accepting other offers.",Statistics,F20
10,13 May 2020,,,,,I,,14 May 2020,Rejected,Website,Masters,Rowan University,Generic rejection mail,Statistics,F20
11,13 May 2020,,,,,A,,14 May 2020,Other,Other,PhD,Iowa State University,"Is this another department everyone got ghosted by? Another wasted application fee for me. I'm happily attending another program, but it is so frustrating that some departments will shamelessly avoid sending any communication. It drags out the decision process for everyone as applicants hold onto other offers until 4/15 while waiting to hear from these disorganized departments. Really wish we could push back on this behavior.",Statistics,F20
12,13 May 2020,,,,,A,,13 May 2020,Rejected,E-mail,Masters,"University Of California, Davis",,Statistics,F20
13,12 May 2020,,,,,I,,12 May 2020,Rejected,Postal Service,Masters,Mississippi State University,Emailed me to check the portal,Statistics,F20
14,12 May 2020,162.0,155.0,3.0,,I,3.06,6 May 2020,Accepted,E-mail,Masters,"University Of Californa, Los Angeles (UCLA)",Accepted from waitlist.,Applied Statistics,F20
15,10 May 2020,168.0,147.0,0.0,,I,3.4,10 Jan 2020,Accepted,E-mail,PhD,University Of Delaware (UD),,Education Statistics And Research Methods,F20
16,7 May 2020,170.0,155.0,3.5,,U,3.53,7 May 2020,Accepted,Postal Service,Masters,Columbia University,,Statistics,F20
17,6 May 2020,,,,,A,,6 May 2020,Other,Other,PhD,"University Of Californa, Los Angeles (UCLA)","TTPB: Also have heard nothing from the department almost a month past the 4/15 deadline. It's completely disrespectful to treat applicants like this. I feel like they just stole my application fee, and I hope future applicants know to avoid throwing away their money and applying unless they are in touch with a POI.",Statistics,F20
18,5 May 2020,,,,,I,,5 May 2020,Other,POST,Masters,"University Of Californa, Los Angeles (UCLA)","Has anyone heard back from UCLA Statistics program (not MAS). Followed up with co-ordinator 10 times but no response. I can see few admits here, but any waitlist or reject??",Statistics,F20
19,5 May 2020,,,,,I,,5 May 2020,Other,Other,Masters,UC Santa Barbara (UCSB),"Hi, has anyone heard back from this program. I applied in feb and haven't received any information about the status of my application. I have emailed the department and received no response. Should I assume I wasn't accepted ?",Statistics,F20
20,29 Apr 2020,141.0,167.0,2.5,,U,3.42,9 Mar 2020,Accepted,E-mail,Masters,Columbia University,,Statistics,F20
21,29 Apr 2020,,,,,U,,28 Apr 2020,Rejected,Website,Masters,York University,No email notification.,Statistics,F20
22,28 Apr 2020,168.0,161.0,4.0,810.0,U,2.59,31 Jan 2020,Accepted,E-mail,Masters,Ball State University,"Accepted much earlier (as you can see on the left) but TA assistantship notification today on 04/28/2020: tuition waiver + $12,000",Statistics,F20
23,28 Apr 2020,,,,,I,,26 Apr 2020,Accepted,E-mail,PhD,UMass-Amherst,"I applied to Amherst, but they offered me a Master's program on Newton campus without assistantships.",Statistics,F20
24,27 Apr 2020,,,,,A,,28 Apr 2020,Rejected,E-mail,PhD,Colorado State University - Fort Collins,,Statistics,F20
25,27 Apr 2020,,,,,,,27 Apr 2020,Accepted,E-mail,Masters,Columbia University,,Statistics,F20
26,25 Apr 2020,,,,,U,,24 Apr 2020,Rejected,Postal Service,PhD,Rutgers University - New Brunswick,"Checked the postal and saw the rejection. They did not respond to any of my inquiries after my submission for the application, and they even did not bother to send me an email to notify me the decision before 4.15, feels like I paid the application fee for nothing, terrible experience.",Statistics,F20
27,24 Apr 2020,,,,,I,,24 Apr 2020,Rejected,Website,Masters,University Of Warwick,"Checked website for status and saw I was rejected 
After taking so long to give decision, they don't even bother notifying me by email? 
Rude ...",Statistics,F20
28,24 Apr 2020,,,,,,,24 Apr 2020,Rejected,E-mail,Masters,Rutgers University,Got the rejection email today. I agree with the previous poster. Rutgers Statistics took forever to send this to me. Seems like the department is unorganized. Thankfully I had accepted another program before the April 15 deadline,Statistics,F20
29,24 Apr 2020,,,,,A,,23 Apr 2020,Rejected,E-mail,PhD,Rutgers University,Finally received a decision over a week past the deadline for other schools (accepted another offer) having not received any other communication since the app deadline in January. Hopefully future applicants can take note the department seems like a mess and will leave you hanging for a long time.,Statistics,F20
30,23 Apr 2020,,,,,U,,24 Apr 2020,Other,Other,PhD,Colorado State University - Fort Collins,"I had an interview with a professor, and she said that I will get admission and assistantship. but the last day, she mentioned that I am on the waitlist. I think she said like that because she did not want to lose the candidate at that point. I can understand this. However, after that, I sent her an email twice to check my application status, and also to the director, but they did not reply back. It made me feel bad. at least she can answer me back and let me know about my application status. I didn't get my application result yet. weird.
",Statistics,F19
31,22 Apr 2020,,,,,I,,23 Apr 2020,Accepted,E-mail,Masters,University College London (UCL),,Statistics,F20
32,21 Apr 2020,,,,,U,,21 Apr 2020,Rejected,E-mail,PhD,UNC Chapel Hill,,Statistics,F20
33,21 Apr 2020,168.0,153.0,3.5,,U,3.86,21 Apr 2020,Rejected,E-mail,PhD,University Of North Carolina Chapel Hill (UNC),"Emailed to check website. Expected rejection and decided to go to another school anyways. I think this is probably final, probably no more rounds of admission.",Statistics,F20
34,21 Apr 2020,,,,,,,21 Apr 2020,Rejected,E-mail,PhD,University Of North Carolina Chapel Hill (UNC),:^),Statistics,F20
35,21 Apr 2020,,,,,A,,20 Apr 2020,Rejected,E-mail,Masters,University Of Iowa,was told I was on waitlist but rejected nonetheless.,Statistics,F19
36,20 Apr 2020,,,,,O,,20 Apr 2020,Rejected,E-mail,Masters,University Of Toronto,Expected. Inconsistent grades and medicore gpa (3.2-3.3),Statistics,F20
37,20 Apr 2020,,,,,,,14 Apr 2020,Accepted,E-mail,PhD,Iowa State University,TA+Tuition+Insurance. Last hope. Extremely happy :),Statistics,F20
